Variable code,,1110103,1110104,1110203,1110204,1110303,1110304,1110403,1110404,1110503,1110504,1110603,1110604,1110703,1110704,1120103,1120104,1120203,1120204,1120303,1120304,1120403,1120404,1120503,1120504,1120603,1120604,1120703,1120704,1310302,1310303,1410101,3100202,3100203,4100101,5100101,6100102,6100103,6210103,6210104,6210203,6210204,6210303,6210304,6210403,6210404,6210503,6210504,6210603,6210604,6210703,6210704,6220103,6220104,6220203,6220204,6220303,6220304,6220403,6220404,6220503,6220504,7100101,7100201
Year,Country,Top 10% income share-married couples & single adults,Top 10% income share-adults,Top 5% income share-married couples & single adults,Top 5% income share-adults,Top 1% income share-married couples & single adults,Top 1% income share-adults,Top 0.5% income share-married couples & single adults,Top 0.5% income share-adults,Top 0.1% income share-married couples & single adults,Top 0.1% income share-adults,Top 0.05% income share-married couples & single adults,Top 0.05% income share-adults,Top 0.01% income share-married couples & single adults,Top 0.01% income share-adults,Top 10-5% income share-married couples & single adults,Top 10-5% income share-adults,Top 5-1% income share-married couples & single adults,Top 5-1% income share-adults,Top 1-0.5% income share-married couples & single adults,Top 1-0.5% income share-adults,Top 0.5-0.1% income share-married couples & single adults,Top 0.5-0.1% income share-adults,Top 0.1-0.05% income share-married couples & single adults,Top 0.1-0.05% income share-adults,Top 0.05-0.01% income share-married couples & single adults,Top 0.05-0.01% income share-adults,Top 0.1-0.01% income share-married couples & single adults,Top 0.1-0.01% income share-adults,Top 1% income share-net of income tax-married couples & single adults,Top 1% income share-net of income tax-adults,Income reduction as a result of income tax (Top 1%),Number of tax units-married couples & single adults,Number of tax units-adults,Income control,Price index,Average income per tax unit-married couples & single adults,Average income per tax unit-adults,Top 10% average income-married couples & single adults,Top 10% average income-adults,Top 5% average income-married couples & single adults,Top 5% average income-adults,Top 1% average income-married couples & single adults,Top 1% average income-adults,Top 0.5% average income-married couples & single adults,Top 0.5% average income-adults,Top 0.1% average income-married couples & single adults,Top 0.1% average income-adults,Top 0.01% average income-married couples & single adults,Top 0.01% average income-adults,Bottom 90% average income-married couples & single adults,Bottom 90% average income-adults,Top 10-5% average income-married couples & single adults,Top 10-5% average income-adults,Top 5-1% average income-married couples & single adults,Top 5-1% average income-adults,Top 1-0.5% average income-married couples & single adults,Top 1-0.5% average income-adults,Top 0.5-0.1% average income-married couples & single adults,Top 0.5-0.1% average income-adults,Top 0.1-0.01% average income-married couples & single adults,Top 0.1-0.01% average income-adults,Pareto-Lorenz coefficient,Inverted Pareto-Lorenz coefficient
1930,United Kingdom,,,,,,,,,7.81,,5.74,,2.71,,,,,,,,,,2.07,,3.03,,5.1,,,,,24372.89,,3832.85416,0.0186442,8434.76,,,,,,,,,,658754.55,,2285819.25,,,,,,,,,,,,477969.58,,,
1931,United Kingdom,,,,,,,,,7.17,,5.24,,2.44,,,,,,,,,,1.93,,2.8,,4.73,,,,,24582.682,,3693.9194,0.0178898,8399.5,,,,,,,,,,602244.24,,2049478.32,,,,,,,,,,,,441440.46,,,
1932,United Kingdom,,,,,,,,,6.87,,5,,2.32,,,,,,,,,,1.87,,2.68,,4.55,,,,,24670.47,,3594.45361,0.0174587,8345.34,,,,,,,,,,573324.66,,1936118.2,,,,,,,,,,,,421903.15,,,
1933,United Kingdom,,,,,,,,,6.75,,4.91,,2.24,,,,,,,,,,1.84,,2.67,,4.51,,,,,24709.797,,3584.29835,0.0170276,8518.86,,,,,,,,,,575022.84,,1908223.93,,,,,,,,,,,,426889.38,,,
1934,United Kingdom,,,,,,,,,6.78,,4.92,,2.23,,,,,,,,,,1.86,,2.69,,4.55,,,,,24732.789,,3730.84308,0.0170276,8858.91,,,,,,,,,,600634.03,,1975536.72,,,,,,,,,,,,447867.07,,,
1935,United Kingdom,,,,,,,,,6.96,,5.08,,2.35,,,,,,,,,,1.88,,2.73,,4.61,,,,,24781.853,,3780.10884,0.0171354,8901.78,,,,,,,,,,619563.87,,2091918.24,,,,,,,,,,,,455968.94,,,
1936,United Kingdom,,,,,,,,,7.03,,5.12,,2.35,,,,,,,,,,1.91,,2.77,,4.68,,,,,24835.706,,3984.10794,0.0172431,9303.32,,,,,,,,,,654023.51,,2186280.58,,,,,,,,,,,,483772.73,,,
1937,United Kingdom,38.37,,29.75,,16.98,,13.07,,6.59,,4.78,,2.18,,8.62,,12.77,,3.91,,6.48,,1.81,,2.6,,4.41,,12.57,,25.97,24889.049,,4242.97314,0.0178898,9529.22,,36563.61,,56698.85,,161806.14,,249093.79,,627975.55,,2077369.8,,6525.4,,16428.37,,30422.03,,74518.49,,154373.35,,466931.74,,1.698,2.433
1938,United Kingdom,,,,,,,,,6.57,,4.79,,2.21,,,,,,,,,,1.78,,2.58,,4.36,,,,,24936.632,,4319.52609,0.0181053,9567.37,,,,,,,,,,628576.06,,2114388.26,,,,,,,,,,,,463485.81,,,
1939,United Kingdom,,,,,,,,,6.35,,4.61,,2.13,,,,,,,,,,1.74,,2.48,,4.22,,,,,25140.891,,4436.29163,0.0186442,9464.48,,,,,,,,,,600994.47,,2015934.2,,,,,,,,,,,,443778.94,,,
